城市,行政区,小区地址,小区名称,小区户型,户型类型,面积,租金,租金付款方式,更新时间
杭州,余杭-乔司,"迎宾路,近1号路",保亿风景晨园(公寓),3室1厅,1.标准平面,20,1280,付1押1,2019年7月15日
杭州,江干-闸弄口,秋涛北路385号,濮家新村,1室1厅,1.标准平面,42,3000,付1押1,2019年7月17日
杭州,余杭-五常,"五常大道,近高教路",西溪华东园,3室1厅,1.标准平面,17,1440,付1押1,2019年7月16日
杭州,上城-城站,"姚园寺巷,近建国南路",建国南苑北区,1室1厅,1.标准平面,46,2500,付2押1,2019年7月17日
杭州,余杭-未来科技城,文一西路,西溪蓝海(商住楼),1室1厅,1.标准平面,39,1800,付1押1,2019年7月13日
杭州,拱墅-桥西,花园岗街46号,锦文雅苑(东区),3室1厅,1.标准平面,17,1440,付1押1,2019年7月17日
杭州,拱墅-桥西,"登云路,近通益路",名城公馆(别墅),3室1厅,1.标准平面,19,1260,付1押1,2019年7月17日
杭州,钱塘新区-下沙物美,"3号大街,近凌霄街",裕园公寓,3室1厅,1.标准平面,18,1080,付1押1,2019年7月17日
杭州,拱墅-申花,丰登街173号,西铭苑,3室1厅,1.标准平面,17,1060,付1押1,2019年7月17日
杭州,江干-火车东站,"备塘路,近元宝塘南巷",淮矿东元府,3室1厅,1.标准平面,18,1220,付1押1,2019年7月17日
杭州,江干-艮北新城,"兴建路,近园区路",招商雍和府,3室1厅,1.标准平面,16,1590,付1押1,2019年7月13日
杭州,滨江-区政府,"风情大道,近丹枫路",缤纷东苑,3室1厅,1.标准平面,17,1440,付1押1,2019年7月11日
杭州,西湖-翠苑,文一路272号,杭州湾文菁花苑,3室1厅,1.标准平面,18,2480,付1押1,2019年7月15日
杭州,拱墅-桥西,通益路,风景大院,3室1厅,1.标准平面,16,1300,付1押1,2019年7月17日
杭州,滨江-长河,江南大道228号,星光国际广场,3室1厅,1.标准平面,17,1580,付1押1,2019年7月16日
杭州,钱塘新区-下沙江滨,十号大街东29号,和达东东城,3室1厅,1.标准平面,15,1000,付1押1,2019年7月17日
杭州,拱墅-桥西,登云路118号,顺发吉祥半岛(别墅),3室1厅,1.标准平面,18,1480,付1押1,2019年7月17日
杭州,下城-三塘,香积寺路37-69号,三塘沁园,3室1厅,1.标准平面,18,1720,付1押1,2019年7月17日
杭州,上城-吴山,"崔家巷,近中山中路",崔家巷小区,2室1厅,1.标准平面,16.74,1840,付1押1,2019年7月5日
杭州,江干-凯旋/采荷,青玉路1号,采荷小区玉荷,3室1厅,1.标准平面,17,1400,付1押1,2019年7月11日
杭州,西湖-西湖三墩,"天虹街,近紫荆花北路",天虹公寓,3室1厅,1.标准平面,18,1920,付1押1,2019年7月17日
杭州,上城-城站,富春江路118号,临江风帆公寓,3室1厅,1.标准平面,18,1860,付1押1,2019年7月17日
杭州,拱墅-大关,大关苑路,大关西三苑,3室1厅,1.标准平面,18,1020,付1押1,2019年7月10日
杭州,萧山-开发区,通惠北路718号,红景凯丽晶座,3室1厅,1.标准平面,19,1120,付1押1,2019年7月11日
杭州,萧山-北干,"金城路,近风情大道",中国铁建江南国际城,3室1厅,1.标准平面,19,1240,付1押1,2019年7月10日
杭州,滨江-西兴,"闻涛路,近江晖路",杭州印,1室1厅,1.标准平面,53,3750,面议,2019年7月13日
杭州,江干-城东新城,"全福桥路,近机场路",天阳尚城国际,3室1厅,1.标准平面,15,2000,付1押1,2019年7月17日
杭州,钱塘新区-下沙江湾,学源街339号,丽泽苑,3室1厅,1.标准平面,18,1200,付1押1,2019年7月17日
杭州,江干-九堡科技园,九昌路,天阳九筑,3室1厅,1.标准平面,18,1640,付1押1,2019年7月17日
杭州,拱墅-大关,绍兴路630号,绍兴新村,3室1厅,1.标准平面,19,1240,付1押1,2019年7月11日
杭州,余杭-未来科技城,"文昌路,近常二路",福鼎家园,3室1厅,1.标准平面,20,800,付1押1,2019年7月8日
杭州,上城-复兴,之江路525号,复兴南苑,1室1厅,1.标准平面,38,1500,面议,2019年7月13日
杭州,拱墅-汽车北站,"莫干山路,近花园岗街",华方新村,3室1厅,1.标准平面,18,1740,付1押1,2019年7月16日
杭州,下城-朝晖,朝晖路152号,广厦绿洲花园,3室2厅,1.标准平面,135,6500,付3押1,2019年7月12日
杭州,拱墅-万达广场,"石祥西路,近丰庆路",赞成星谷,1室厅,1.标准平面,19,1640,付1押1,2019年7月10日
杭州,下城-石桥,太公街112号,华润翠庭,3室1厅,1.标准平面,17,1900,付1押1,2019年7月11日
杭州,钱塘新区-下沙江滨,"16号大街,近23号大街",世茂江滨花园瑞景湾,5室3厅,1.标准平面,259,10500,付3押1,2019年7月12日
杭州,钱塘新区-金沙湖,松乔街,湾南德盛东苑,3室1厅,1.标准平面,16,1220,付1押1,2019年7月17日
杭州,江干-火车东站,新塘路672号,中豪五星国际,3室1厅,1.标准平面,100,4200,付3押1,2019年7月15日
