城市,行政区,小区地址,小区名称,小区户型,户型类型,面积,租金,租金付款方式,更新时间
杭州,西湖区三墩,距2号线金家渡站步行约772米,白马尊邸,4室1厅,楼层5/18,12㎡,1690,季付价,2012年建成
杭州,拱墅区三墩,距2号线墩祥街站步行约611米,都市水乡水滟苑,3室1厅,楼层7/15,12.3㎡,1760,季付价,2005年建成
杭州,余杭区亲亲家园,距2号线金家渡站步行约266米,协安蓝郡,4室1厅,楼层7/16,14.3㎡,1690,季付价,2016年建成
杭州,下沙区沿江北,距1号线下沙江滨站步行约581米,伊萨卡国际城绮风园,3室1厅,楼层4/34,16.2㎡,1690,季付价,2010年建成
杭州,余杭区三墩,距2号线金家渡站步行约513米,亲亲家园三期,5室1厅,楼层5/7,15.8㎡,1730,季付价,2007年建成
杭州,余杭区亲亲家园,距2号线金家渡站步行约266米,协安蓝郡,4室1厅,楼层13/16,11㎡,1730,季付价,2016年建成
杭州,余杭区三墩,距2号线金家渡站步行约513米,亲亲家园三期,5室1厅,楼层2/6,16㎡,1760,季付价,2007年建成
杭州,余杭区乔司,距1号线翁梅站步行约597米,翁梅新苑一区,4室1厅,楼层4/17,14.5㎡,1630,季付价,暂无数据
杭州,余杭区三墩,距2号线金家渡站步行约699米,铭雅苑东区,4室1厅,楼层5/6,14.9㎡,1790,季付价,2004年建成
杭州,余杭区良渚,距2号线白洋站步行约920米,上实海上海,4室1厅,楼层6/26,10.6㎡,1730,季付价,暂无数据
杭州,余杭区良渚,距2号线白洋站步行约596米,越秀星汇悦城,4室1厅,楼层26/27,11.3㎡,1690,季付价,2017年建成
杭州,拱墅区桥西,距5号线大运河站站步行约541米,新安天苑,3室1厅,楼层16/24,13.15㎡,1790,季付价,2011年建成
杭州,西湖区三墩,距2号线三墩站步行约660米,新世纪花苑,4室1厅,楼层6/6,13.7㎡,1890,季付价,2002年建成
杭州,萧山区湘湖,距1号线湘湖站步行约942米,湘湖家园,3室1厅,楼层2/6,12.6㎡,1690,季付价,2008年建成
